IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1310543,2353303,3926405,6472273,6461315,3840309,1615985,999651,1694659,3017171,5151153,6450437,5144811,2742933,1340797,PE
1254627,2205585,3669359,6123223,6312755,4073539,1602285,1035081,1599691,2822741,4856201,6210973,5194619,2853579,1352223,PE
1281249,2236325,3711299,6109369,6197799,3736845,1541807,1005785,1623489,2850061,4858227,6135379,4966949,2656155,1309259,PE
1265833,2293843,3838751,6363973,6407855,3742185,1644145,979907,1644787,2947487,5059861,6372335,5073757,2710059,1346989,PE
1261059,2194349,3689221,6205211,6452047,3974873,1580283,1018741,1598461,2827793,4903843,6316141,5208167,2791353,1335869,PE
1294515,2339775,3923787,6572439,6531191,3932693,1618415,985905,1681513,3009025,5201491,6537047,5225173,2788793,1339481,PE
703369,2658738,5403020,8383874,8405071,8341824,4895349,3554930,1334135,3136007,7355780,8405071,8405071,5917250,3762011,ALU
826386,2899188,5618462,8401566,8401566,8401566,4924886,3556047,1487102,3337129,7527938,8401566,8401566,5842285,3704024,ALU
826741,2908300,5570041,8402421,8381915,8402421,4867140,3555930,1464971,3348938,7553327,8402421,8402421,5860836,3717073,ALU
832492,2919027,5684290,8401510,8401510,8401510,5073242,3875657,1460288,3387145,8401510,8401510,8401510,6120316,3938419,ALU
839276,2909189,5669479,8400646,8380510,8400646,5019718,3877337,1481148,3412807,8400646,8400646,8400646,6140783,3952822,ALU
873027,2767670,5516881,8381782,8402609,8380844,5061005,3483574,1445336,3264626,8402609,8402609,8402609,6102292,3763501,ALU
878023,2795026,5567178,8383124,8402979,8382510,5084120,3499802,1461066,3288992,8402979,8402979,8402979,6131725,3789812,ALU
1033259,2820301,5534910,8355349,8403086,8379441,5055103,3328350,1714044,3493526,5869904,8403086,8403086,8403086,3784009,ALU
1269569,3136022,6396776,8386608,8386608,8386608,4843955,8185313,1647678,3617124,8386608,8386608,8386608,8386608,6084492,ALU
1536705,3409051,6815020,8363052,8383370,8383370,4762986,8027663,1885623,4000669,8383370,8383370,8383370,8383370,6173630,ALU
1648783,3047144,6550253,8388279,8388279,8388279,7232265,4018688,1700807,3604922,8388279,8388279,8388279,7794470,4984515,ALU
1533722,2903328,6216265,8389316,8389316,8389316,6919357,3819931,1684388,3426237,8389316,8389316,8389316,7538977,4736630,ALU
1494692,2903214,6298278,8375749,8399594,8399594,7090906,3987668,1648725,3519443,8399594,8399594,8399594,7731279,4735162,ALU
1523316,2985560,6285517,8390041,8367907,8390041,7103839,3993522,1675267,3600211,8390041,8390041,8390041,7827848,4877971,ALU
1546976,3024270,6399980,8387540,8387540,8387540,6968214,3890167,1698731,3637975,8387540,8387540,8387540,7892091,4874838,ALU
1557449,3028901,6443867,8388791,8388791,8388791,6764565,3849148,1676038,3634278,8388791,8388791,8388791,7851914,4801460,ALU
1308187,2803131,5951130,8398721,8398721,8398721,6876607,3893292,1557715,3406764,8398721,8398721,8398721,7762227,4719829,ALU
1480100,2928245,6176118,8398394,8377726,8398394,6856282,3894467,1624771,3533835,8398394,8398394,8398394,7746648,4752152,ALU
1508209,2942258,6288961,8379232,8398871,8377506,6974344,3864063,1665273,3547442,8398871,8398871,8398871,7736453,4718179,ALU
1218264,3113546,6873810,8395373,8395373,8395373,5149417,3828788,1643791,3722828,6793044,8395373,8395373,5988432,3905372,ALU
1279115,3212064,6956387,8393827,8393827,8393827,5206658,3809560,1712483,3835286,6947255,8393827,8393827,6016206,3914944,ALU
1300481,3225722,6972561,8394371,8394371,8394371,5231623,3809367,1731003,3851798,6965227,8394371,8394371,6027960,3926488,ALU
1228887,3170463,6864471,8396999,8396999,8396999,5268569,3839240,1672428,3724648,6762023,8396999,8396999,5925861,3895504,ALU
1284968,3198528,6913884,8396530,8396530,8396530,5278230,3832734,1694253,3764391,6822637,8396530,8396530,6002507,3951958,ALU
1260545,3180189,6783799,8394763,8394763,8394763,5304067,3838744,1694993,3781863,6857815,8394763,8394763,5979746,3945104,ALU
1286785,3216580,6946065,8394869,8394869,8394869,5318173,3835570,1730643,3848910,7004006,8394869,8394869,6081833,4005753,ALU
1275279,3155638,6923845,8394685,8394685,8394685,5325324,3835894,1764155,3921217,7076301,8394685,8394685,6124418,4030143,ALU
1315371,3251682,7008888,8393786,8373916,8393786,5270622,3828248,1772336,3922958,7066168,8393786,8393786,6124424,4021980,ALU
