IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1473919,2558863,4470539,7328967,7364563,4628019,2099293,1257051,HDPE
954885,1626469,2923557,5061493,5652795,3166573,1307147,826903,HDPE
1057875,1727947,3273053,5231005,5257121,3333241,1337165,1098427,HDPE
1306503,2233821,3640965,5698157,5517133,2774853,1400593,827981,HDPE
1560367,2690339,4551541,6659435,7130417,3836127,1994741,1165699,HDPE
1136647,1880097,3443843,5422567,5739741,4051785,1470439,1088683,HDPE
1581921,2486855,3888315,5116127,5773789,3485823,1779289,1056901,HDPE
1410857,2353767,3743895,5016481,5568167,2994765,1579179,976811,HDPE
973955,1646857,2674597,4115417,4588015,2635385,1122851,691463,HDPE
1510381,2567341,4419177,6793855,7005965,3791931,1790689,1102871,HDPE
1181553,2207119,3731117,5406387,5455897,2935649,1496639,868155,HDPE
1647563,2943563,4895361,8239535,7946479,4460603,2158407,1158681,LDPE
908375,1562747,2759067,5057689,5002483,3252943,1285437,988271,LDPE
1066823,1794539,3056407,5241851,5593989,3885795,1431861,1132609,LDPE
1534709,2654239,4373685,7055651,6966701,4194429,1828319,1181327,LDPE
960229,1515691,3319533,5623449,5780315,4482653,1353925,1210567,LDPE
1009673,1667703,3165669,5378227,6274925,3974911,1446693,1302011,LDPE
1021621,1773805,3093381,6415103,5774751,3646943,1511397,1186867,LDPE
1042609,1742221,2901653,4838575,5241493,4154935,1468057,1027909,LDPE
1370457,2362305,3958213,6641849,5926145,3447009,1643399,1122455,LDPE
1712099,3033169,5017691,8039599,7826177,4487429,2145011,1269313,LDPE
1241367,2112383,3523435,5704965,5842003,3794519,1488429,1101813,LDPE
1080971,1813463,3160597,5543207,5494573,3892727,1375711,1143911,LDPE
992171,1687191,2921039,4937425,5052281,3590681,1330443,1047475,LDPE
1277963,2221299,3706301,5818017,5551393,3583007,1643349,1107975,LDPE
1532361,2665651,4525489,7397109,7026493,3864101,1672185,986765,LDPE
1647215,2937395,4850539,7865631,7663293,4312621,2102297,1155697,LDPE
1036245,1786123,3073939,5221995,5306541,3427703,1341193,910085,LDPE
1165967,2006091,3358193,5666173,5942913,3897785,1545577,1100199,LDPE
1089047,1806825,3134469,5723047,6068223,4318803,1582451,1162385,LDPE
1687879,2938081,4835451,7933105,7841573,4451445,2116185,1173897,LDPE
1015709,1732041,3078805,5661861,5784467,3636529,1301335,907027,LDPE
1434241,2463197,4183625,6695999,6339471,3699227,1548355,983623,LDPE
1594179,2823185,4659323,7650337,7533083,4251999,2016245,1098679,LDPE
1360933,2312183,3858383,6450143,6489237,4080657,1571549,1090809,LDPE
1034039,1768899,3033403,5307315,5514539,3642149,1399441,983111,LDPE
1136409,1892511,3347191,6053113,5852057,3571335,1345817,1170175,LDPE
1345897,2298929,3828905,6161899,5987873,3649751,1489259,1038015,LDPE
1247953,2121401,3634235,6101743,5803485,3157961,1437815,1221393,LDPE
1150955,1983387,3364599,5945635,6128293,4150615,1472931,1058443,LDPE
1075757,1828859,3199513,5789129,5710581,3565687,1381437,1057495,LDPE
1391683,2326927,3816705,5965887,6088663,4033299,1629303,1166809,LDPE
1179613,2048511,3434371,5692909,5687965,3432177,1405887,937467,LDPE
1212035,2070381,3430293,5645587,5817635,3944607,1537885,1070695,LDPE
1213147,2069525,3428727,5642075,5815657,3941221,1534877,1070991,LDPE
1726795,3075065,5111149,8386137,8131159,4569569,2291621,1242471,LDPE
1726321,3073295,5103589,8386403,8233635,4540381,2268881,1225311,LDPE
1143175,1892429,3182735,5772705,6392383,4645245,1466649,1144443,LDPE
1144393,1929385,3245267,5465767,5578759,3806979,1504819,1059279,LDPE
1110765,1934919,3308345,5640647,5466021,3375813,1313957,959241,LDPE
1217725,2114607,3524279,5912355,6010761,3736739,1569765,1110355,LDPE
1232827,2205393,3682331,6111023,6109375,3810835,1583815,1037801,PP
1264503,2287469,3793061,6292103,6377615,3994787,1610137,1027605,PP
1259381,2273575,3792685,6326213,6438955,4077687,1602513,1039129,PP
1225339,2151437,3632141,6310993,6431903,4136751,1523323,978139,PP
1829519,3289265,5322039,8380921,8383389,4909537,2354621,1124655,PP
1472713,2549147,4671915,8057531,8178459,5026201,2247935,1417525,PP
1263615,2291383,3843465,6505041,6408167,3865213,1553403,980161,PP
1269167,2284013,3787035,6232119,6199091,3601627,1549069,950413,PP
1309063,2369297,3941923,6421527,6399887,3716079,1654723,1018437,PP
1248053,2191789,3645713,6190241,6297139,3970077,1519961,956039,PP
1291391,2342277,3902905,6460553,6464459,3818881,1632201,964929,PP
1282163,2291131,3837857,6381763,6413577,3869691,1601043,998811,PP
1279331,2289649,3837779,6376969,6395873,3864901,1600799,996493,PP
1262069,2281907,3775961,6231883,6333431,3771597,1608187,1013999,PP
1273505,2206951,3725555,6235635,6261497,3923249,1586269,1058639,PP
1284481,2305903,3896937,6438933,6417861,3752931,1683785,1052115,PP
1267823,2290325,3812393,6399473,6495321,3923129,1621339,981129,PP
1260875,2209827,3696803,6400503,6561837,3959495,1527389,976301,PP
1251055,2182077,3642661,6070283,6382591,4031087,1593523,1047231,PP
1300413,2343453,3902263,6315745,6266937,3564175,1612939,1000175,PP
1258801,2279525,3873511,6545575,6573509,3953865,1636427,977833,PP
1270229,2221339,3712773,6176435,6310673,3921339,1573617,969805,PP
1277367,2308429,3835911,6291789,6415013,3790823,1660577,981441,PP
1286591,2244089,3738949,6192265,6133081,3656577,1529471,934947,PP
1314535,2370117,3939419,6574463,6690149,4001403,1686269,1049113,PP
1266839,2218175,3689421,6072861,6072993,3903877,1565123,1016909,PP
1275243,2267645,3767911,6256341,6322885,3875453,1592359,1026947,PP
1251261,2179361,3644081,6125815,6184085,3823339,1532381,1051103,PP
1270153,2213641,3724759,6298055,6488853,4086593,1570079,1045477,PP
1300911,2353679,3938275,6509497,6560013,3950343,1592295,991381,PP
1281819,2302601,3836663,6377787,6382163,3732321,1589747,981319,PP
1282075,2241477,3716297,6196317,6243893,3811071,1584089,1013761,PP
1292105,2324879,3872143,6466819,6380433,3729625,1594119,966043,PP
1252575,2190451,3711507,6310401,6403177,3853083,1533817,1008823,PP
1262189,2197903,3677097,6115229,6215479,3948233,1611359,1089511,PP
1261963,2187427,3666569,6080251,6157521,3872625,1625293,1046179,PP
1259547,2217897,3729161,6216797,6166607,3686607,1524605,971279,PP
1260489,2271877,3757111,6149221,6139555,3590735,1540469,924743,PP
1262205,2194073,3654001,6027245,6119967,3772263,1545835,1004731,PP
1240817,2171121,3629071,6203535,6395731,3882245,1557729,1014789,PP
1247857,2172601,3641379,6157853,6238399,3844863,1556395,1007415,PP
1271009,2218533,3697597,6210841,6345113,3864107,1566963,1024799,PP
1279831,2230019,3771689,6287795,6316713,3776909,1536477,976529,PP
1266691,2201819,3720557,6418415,6397823,4024967,1560385,997495,PP
1310543,2353303,3926405,6472273,6461315,3840309,1615985,999651,PP
1254627,2205585,3669359,6123223,6312755,4073539,1602285,1035081,PP
1281249,2236325,3711299,6109369,6197799,3736845,1541807,1005785,PP
1265833,2293843,3838751,6363973,6407855,3742185,1644145,979907,PP
1261059,2194349,3689221,6205211,6452047,3974873,1580283,1018741,PP
1294515,2339775,3923787,6572439,6531191,3932693,1618415,985905,PP
703369,2658738,5403020,8383874,8405071,8341824,4895349,3554930,ALU
826386,2899188,5618462,8401566,8401566,8401566,4924886,3556047,ALU
826741,2908300,5570041,8402421,8381915,8402421,4867140,3555930,ALU
832492,2919027,5684290,8401510,8401510,8401510,5073242,3875657,ALU
839276,2909189,5669479,8400646,8380510,8400646,5019718,3877337,ALU
873027,2767670,5516881,8381782,8402609,8380844,5061005,3483574,ALU
878023,2795026,5567178,8383124,8402979,8382510,5084120,3499802,ALU
1033259,2820301,5534910,8355349,8403086,8379441,5055103,3328350,ALU
1269569,3136022,6396776,8386608,8386608,8386608,4843955,8185313,ALU
1536705,3409051,6815020,8363052,8383370,8383370,4762986,8027663,ALU
1648783,3047144,6550253,8388279,8388279,8388279,7232265,4018688,ALU
1533722,2903328,6216265,8389316,8389316,8389316,6919357,3819931,ALU
1494692,2903214,6298278,8375749,8399594,8399594,7090906,3987668,ALU
1523316,2985560,6285517,8390041,8367907,8390041,7103839,3993522,ALU
1546976,3024270,6399980,8387540,8387540,8387540,6968214,3890167,ALU
1557449,3028901,6443867,8388791,8388791,8388791,6764565,3849148,ALU
1308187,2803131,5951130,8398721,8398721,8398721,6876607,3893292,ALU
1480100,2928245,6176118,8398394,8377726,8398394,6856282,3894467,ALU
1508209,2942258,6288961,8379232,8398871,8377506,6974344,3864063,ALU
1218264,3113546,6873810,8395373,8395373,8395373,5149417,3828788,ALU
1279115,3212064,6956387,8393827,8393827,8393827,5206658,3809560,ALU
1300481,3225722,6972561,8394371,8394371,8394371,5231623,3809367,ALU
1228887,3170463,6864471,8396999,8396999,8396999,5268569,3839240,ALU
1284968,3198528,6913884,8396530,8396530,8396530,5278230,3832734,ALU
1260545,3180189,6783799,8394763,8394763,8394763,5304067,3838744,ALU
1286785,3216580,6946065,8394869,8394869,8394869,5318173,3835570,ALU
1275279,3155638,6923845,8394685,8394685,8394685,5325324,3835894,ALU
1315371,3251682,7008888,8393786,8373916,8393786,5270622,3828248,ALU
1331849,3274420,6949854,8394407,8370897,8394407,5344565,3826786,ALU
1331866,3279419,7052554,8375631,8395465,8372856,5351270,3830650,ALU
1333090,3240801,7064545,8371839,8395259,8395259,5356127,3829975,ALU
1303825,3213374,7013053,8372737,8395334,8395334,5354023,3836185,ALU
1291696,3217563,6961453,8375696,8395650,8372878,5370395,3839332,ALU
1434510,3455651,7338728,8395712,8375948,8395712,5346963,3804623,ALU
1449743,3435628,7307151,8395873,8395873,8375356,5423213,3754512,ALU
1540109,3562960,7544741,8395211,8395211,8395211,5432135,3790594,ALU
1529805,3555516,7533455,8396839,8376759,8396839,5370448,3793313,ALU
1582116,3621407,7649424,8395659,8395659,8395659,5447367,3744910,ALU
1608029,3648420,7688961,8375391,8395653,8371797,5449139,3783009,ALU
1613613,3671238,7787954,8375202,8395273,8372476,5460924,3767678,ALU
1731441,3478454,6546535,8388911,8366689,8388911,5227033,3838067,ALU
1724228,3651136,7743268,8371492,8394229,8394229,4976512,3563767,ALU
1771049,3750111,7792046,8375040,8394591,8394591,4978188,3564117,ALU
1773075,3755206,7687601,8393869,8370691,8393869,4979161,3565049,ALU
1570570,3029571,6434806,8387711,8387711,8387711,7029408,3919952,ALU
1536585,3552374,7516628,8384635,8395752,8373403,5437437,3770146,ALU
1567628,3028910,6430463,8387689,8387689,8387689,7021778,3916238,ALU
877171,2790364,5558608,8382895,8402915,8382226,5080181,3497036,ALU
828753,2903854,5569928,8401663,8382741,8401639,4875655,3553727,ALU
829155,2908185,5648317,8401540,8401540,8401540,4992171,3701002,ALU
1288255,3217906,6963306,8394059,8394059,8394059,5217338,3809477,ALU
1525508,2989147,6296125,8389809,8369726,8389809,7091269,3983943,ALU
1482239,3353384,6729745,8367854,8384030,8384030,4779494,8059805,ALU
1292709,3212784,6987562,8382224,8394656,8394656,5287731,3824207,ALU
832207,2908687,5613403,8401646,8381302,8401646,4933675,3696086,ALU
1455379,3314672,6807010,8380614,8384870,8378845,5317032,3838861,ALU
1494875,2903742,6298151,8375796,8399584,8399294,7089327,3985994,ALU
826577,2904104,5592335,8402027,8390962,8402027,4893727,3555983,ALU
1289026,3218399,6963890,8394079,8394079,8394079,5218239,3809470,ALU
1735594,3730955,7687909,8389672,8376359,8388856,5085889,3614546,ALU
870557,2811517,5567594,8385933,8399912,8385408,5052530,3507973,ALU
1332561,3257462,7059371,8373475,8395347,8385593,5354031,3830266,ALU
1257824,3175880,6768848,8394291,8394862,8394579,5301086,3832634,ALU
1543862,3017683,6391064,8386872,8388449,8386734,6968706,3888070,ALU
1516234,2965188,6288673,8386505,8375745,8392404,7100639,3992073,ALU
1687388,3657830,7758150,8372727,8394576,8386984,5137841,3631678,ALU
1497123,2903221,6293168,8376594,8398953,8398953,7080217,3977216,ALU
1606267,3626459,7665372,8391551,8395415,8395415,5367346,3714125,ALU
1352462,2826890,6033541,8393267,8398928,8398928,6927480,3915696,ALU
1303323,3213468,7011079,8373388,8395320,8395320,5352967,3836166,ALU
876593,2787196,5552783,8382739,8402873,8382033,5077504,3495157,ALU
1609264,3653470,7710871,8375349,8395568,8371947,5451747,3779615,ALU
854717,2819299,5556758,8389548,8402199,8388978,5007569,3512024,ALU
1637408,3422666,6635258,8386085,8372881,8385482,5257688,3838337,ALU
1297124,3223481,6966067,8394493,8394493,8394493,5252835,3815788,ALU
1354606,2836913,6011880,8398632,8393052,8398632,6871118,3893609,ALU
1345625,2830377,6000127,8398649,8394148,8398649,6872180,3893547,ALU
1760221,3727820,7702249,8387980,8376884,8393963,4978463,3564711,ALU
876527,2786835,5552119,8382722,8402868,8382011,5077199,3494943,ALU
1589277,3635389,7707431,8381826,8395252,8380003,5451392,3775264,ALU
1496115,2949086,6231556,8396405,8380017,8396405,6837291,3885083,ALU
1308267,3224905,6939012,8394522,8380813,8394522,5336544,3830582,ALU
1526068,2980039,6340105,8383059,8393651,8382128,6971520,3876088,ALU
1300697,3213962,7000759,8376798,8395248,8395248,5347443,3836072,ALU
1533267,2906916,6219286,8389347,8388381,8389347,6927406,3827505,ALU
1679230,3705790,7746659,8382883,8385157,8381279,5262680,3684296,ALU
833280,2908763,5621915,8401495,8381182,8401495,4946737,3723602,ALU
873442,2769943,5521061,8381893,8402639,8380982,5062926,3484922,ALU
1309874,3230065,6999059,8387880,8394626,8394626,5267489,3815303,ALU
1272757,3206798,6944753,8394228,8394228,8394228,5214493,3813316,ALU
1484209,2930293,6192616,8395592,8380817,8395339,6873543,3890021,ALU
1725545,3653920,7744640,8371591,8394239,8394239,4976559,3563776,ALU
1284906,3198669,6914327,8396501,8396501,8396501,5277482,3832492,ALU
1548052,2971986,6363020,8381796,8395868,8380559,7047448,3907889,ALU
1585002,3625973,7662118,8393784,8395623,8393534,5448609,3746996,ALU
1544957,3450103,7050062,8393519,8386008,8379937,5356904,3782753,ALU
1041391,2833191,5593766,8357108,8402746,8380141,5059248,3350348,ALU
1771675,3751686,7759748,8380862,8387200,8394367,4978488,3564405,ALU
1290384,3213851,6952177,8379758,8395821,8377490,5352422,3838045,ALU
870244,2779336,5529461,8383337,8400787,8382476,5057601,3516036,ALU
1180084,2196107,3669848,5328540,5439068,2949456,1509864,883328,HDPE
1332071,2294301,3722030,6524625,6435529,4270374,1671714,967604,HDPE
841637,1501519,2848410,5745669,5962789,4494826,1383771,1182422,HDPE
1216670,2119546,3494876,5695595,5583389,3443613,1486492,1017932,HDPE
1085572,1818626,3244880,5398935,5679364,3948708,1433525,1062064,HDPE
1413295,2362650,3812497,5062653,5522399,2971454,1566472,995596,HDPE
1045901,1778568,3068304,5507499,5605514,3626476,1357700,962455,HDPE
1489227,2499293,3984983,5477147,5848020,3107889,1606148,955398,HDPE
1559035,2687062,4548015,6663015,7127102,3834949,1989305,1164025,HDPE
1000939,1663229,2926512,4630993,4973153,3423845,1254040,835021,HDPE
1532637,2628956,4450008,6557087,7045978,3746533,1868505,1101757,HDPE
1186338,2174530,3514834,5113900,5401227,2987090,1547039,926585,HDPE
1007845,1723188,3002367,5431614,5480956,3768552,1389679,995304,HDPE
1133218,1908959,3230348,5479411,5563925,3822087,1482070,1074190,LDPE
1161753,2019044,3401678,5679351,5630390,3417555,1382039,943115,LDPE
1623000,2885249,4763234,7767333,7603842,4284942,2063007,1129664,LDPE
1536775,2660108,4383608,7076311,6986377,4196429,1834847,1178455,LDPE
1662756,2964280,4901433,7967279,7754661,4362799,2139269,1172642,LDPE
1181396,2025549,3395988,5797049,5975265,4048121,1503252,1064584,LDPE
1215488,2097225,3487340,5807508,5934857,3818435,1557235,1094767,LDPE
1603496,2843249,4692915,7688159,7555958,4262648,2031362,1108695,LDPE
1534377,2655851,4395128,7103884,6975147,4147767,1806263,1153843,LDPE
1145189,1916492,3366312,6037913,5869193,3589195,1369998,1163715,LDPE
1108777,1821593,3208456,5744641,6277300,4614674,1445454,1156875,LDPE
1055973,1771097,2987066,5061156,5436047,4006387,1448079,1085696,LDPE
1261069,2165061,3665731,5977739,5693306,3343729,1527644,1171823,LDPE
1647547,2943279,4893300,8222348,7933462,4453800,2155827,1158543,LDPE
1556980,2710291,4468081,7215991,7104595,4217825,1882554,1176253,LDPE
1094523,1815486,3139352,5728071,6101022,4351832,1570733,1160569,LDPE
1167597,2007089,3382498,5863881,6043648,4094484,1490628,1061781,LDPE
1719507,3062969,5091300,8372652,8114171,4559546,2279367,1234763,LDPE
1038197,1790662,3125877,6223433,5755102,3622062,1471604,1147254,LDPE
1192041,2040292,3406964,5745092,5921754,4012281,1513854,1066732,LDPE
1011310,1730152,2987435,5060999,5162693,3519907,1335111,987813,LDPE
1057218,1747737,3171746,5518717,6316756,4213644,1453800,1245894,LDPE
1063661,1793668,3058219,5239798,5564269,3838433,1422486,1109602,LDPE
1725435,3070277,5101514,8370305,8121039,4565441,2285490,1240074,LDPE
1156818,2010902,3392645,5675605,5614482,3413515,1375450,944676,LDPE
1069259,1802342,3128856,5484341,5499555,3830196,1381632,1103784,LDPE
1140630,1953941,3326219,5908513,6118275,4178664,1491195,1075777,LDPE
1318822,2267989,3780041,6024846,5813915,3623150,1550670,1065897,LDPE
1365013,2314139,3852852,6385889,6436086,4074373,1579212,1100893,LDPE
1034360,1733221,2904823,4854741,5210548,4062655,1445551,1031108,LDPE
1170315,2033170,3417351,5685850,5657991,3424565,1393471,940407,LDPE
1308320,2230819,3754218,6138819,5917131,3461073,1469522,1108368,LDPE
1212046,2070372,3430277,5645552,5817615,3944573,1537855,1070697,LDPE
1259636,2178385,3627818,5768270,5626112,3684290,1612679,1097517,LDPE
1182993,2008063,3348266,5564751,5711760,3882346,1521694,1065854,LDPE
1039092,1719268,3154104,5506033,6198311,4102373,1497011,1250258,LDPE
1194989,2045112,3401581,5651349,5864631,3924504,1538994,1082231,LDPE
1151613,1989292,3371052,5718850,5694062,3468171,1399295,969826,LDPE
1027577,1770981,3052596,5210857,5285931,3415857,1337413,915384,LDPE
1421213,2421483,4071306,6472503,6262695,3801490,1573134,1039698,LDPE
1037747,1716909,3154633,5500187,6201815,4096543,1494709,1252626,LDPE
1034481,1772353,3041533,5290202,5472822,3599139,1387758,968464,LDPE
1387120,2324739,3822888,6037733,6148094,4040325,1620734,1155533,LDPE
1193300,2042841,3399057,5652211,5869186,3922949,1539377,1083277,LDPE
1163169,2001859,3359386,5718253,5977460,3944902,1532038,1092417,LDPE
1188914,2038439,3408482,5677978,5912202,3866357,1528184,1100690,LDPE
1021965,1719697,2909587,4879033,5164049,3923990,1411732,1035917,LDPE
1647468,2941885,4883173,8137865,7869476,4420364,2143149,1157869,LDPE
1107608,1862150,3196158,5510682,5529931,3856712,1429936,1108365,LDPE
1005578,1701819,2915885,4911148,5102577,3740672,1367023,1042273,LDPE
1027615,1755982,3049313,5431561,5609132,3640179,1365060,956448,LDPE
1058152,1787757,3050322,5259165,5572975,3821353,1423286,1093068,LDPE
1035599,1781082,3062076,5246964,5367412,3490461,1358239,931456,LDPE
1701556,2991780,4938367,7993245,7832878,4471766,2132463,1227781,LDPE
1165273,2005041,3358489,5679087,5951479,3909468,1542219,1098269,LDPE
1412788,2429264,4107812,6677786,6200457,3614398,1580321,1030316,LDPE
1174420,2029763,3423894,5736197,5707685,3448900,1398667,965433,LDPE
1236077,2112880,3523623,5751363,5879758,3781592,1506625,1103724,LDPE
1627080,2894037,4777947,7783898,7613861,4289607,2069629,1134051,LDPE
1352317,2304588,3841492,6284982,6201960,3833752,1524397,1060558,LDPE
1260258,2258654,3750264,6165773,6146181,3614218,1536583,936141,PP
1297859,2347045,3931363,6539524,6546262,3941922,1604755,988768,PP
1258910,2191883,3682836,6205033,6446069,3965041,1577889,1018321,PP
1250616,2178081,3643569,6131878,6194364,3827412,1536925,1042834,PP
1270663,2219774,3704309,6195621,6329878,3889423,1569906,1000472,PP
1281347,2303217,3836583,6368684,6385640,3738513,1597244,981331,PP
1293553,2345583,3907679,6455777,6456557,3806301,1634957,971476,PP
1277822,2304075,3836344,6311535,6410575,3807995,1646719,984930,PP
1269011,2211219,3720297,6286399,6484232,4072567,1571360,1042120,PP
1257814,2196514,3699258,6301617,6473172,4100403,1557205,1026936,PP
1273179,2208462,3721907,6232400,6272405,3915533,1583750,1054224,PP
1267875,2210920,3681321,6116703,6191682,3775418,1537603,1025995,PP
1248366,2183449,3650087,6123491,6172352,3821375,1540458,1049013,PP
1282008,2318676,3906181,6563031,6546010,3940107,1624722,983078,PP
1299192,2343442,3901305,6447890,6388563,3723963,1619446,987939,PP
1281993,2240968,3715803,6187739,6239345,3803748,1579917,1012974,PP
1270318,2296208,3808288,6264187,6377423,3781964,1636438,996442,PP
1262510,2190878,3669134,6079421,6148032,3876133,1618538,1042893,PP
1281120,2298964,3836976,6377557,6386012,3769544,1592849,985579,PP
1243853,2198594,3676366,6099377,6127595,3834218,1599511,1040971,PP
1251970,2188099,3649500,6083845,6364700,4041962,1595767,1044118,PP
1263350,2279316,3772138,6229604,6327694,3774125,1606643,1013983,PP
1261064,2276915,3796615,6340822,6450195,4046865,1606267,1027562,PP
1307726,2348181,3923220,6468670,6456619,3830867,1623311,1005320,PP
1288885,2318126,3861593,6354208,6338372,3668418,1598560,988485,PP
1289694,2332871,3890943,6446064,6455102,3828224,1626471,971159,PP
1263370,2284162,3781059,6236977,6340369,3773232,1612642,1011230,PP
1268128,2212808,3718659,6320408,6504777,4058861,1560764,1030383,PP
1279575,2234904,3712676,6117650,6195394,3732972,1540480,1003124,PP
1252500,2181463,3647825,6124614,6187645,3837502,1541337,1055458,PP
1257350,2201598,3703047,6362238,6494457,3914304,1530118,990112,PP
1267067,2281574,3799828,6399584,6502551,3927081,1611126,980604,PP
1271262,2221478,3701814,6213570,6343779,3864787,1568486,1024927,PP
1251162,2176074,3647281,6139670,6219449,3851367,1572537,1016497,PP
1277001,2238284,3772369,6278888,6319376,3776062,1547899,982497,PP
