IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1610033,3666294,7777083,8376126,8394482,8373516,5457059,3768773,ALU
1315663,3239161,6986355,8381891,8385011,8394942,5350027,3832214,ALU
876493,2798111,5568697,8383670,8402937,8383074,5079402,3501468,ALU
1290531,3224538,6972918,8393814,8387557,8393814,5226798,3815444,ALU
1220629,3126219,6871730,8395735,8395735,8395735,5175947,3831115,ALU
1298485,3224446,6971050,8394320,8394320,8394320,5229290,3809385,ALU
1551044,3580741,7575678,8391015,8381889,8390039,5391814,3790515,ALU
1285084,3192624,6946307,8383343,8395261,8381660,5352243,3837947,ALU
1541918,3015995,6375512,8388074,8383343,8388074,6997204,3912259,ALU
1285844,3219417,6966132,8393819,8390131,8393819,5218530,3813028,ALU
939788,2789599,5524392,8370768,8402807,8380259,5058545,3418898,ALU
1530341,2908485,6225896,8387980,8390581,8387751,6926641,3825777,ALU
1530704,3556165,7534439,8396696,8378369,8396696,5375830,3793075,ALU
1461107,3452645,7339273,8396010,8393159,8378405,5415723,3760019,ALU
1414701,2850451,6076346,8394279,8394279,8394279,6896796,3858645,ALU
1565999,3603308,7615500,8395664,8393506,8395664,5436404,3751429,ALU
1505609,2964873,6261509,8394253,8381469,8394253,6898977,3892826,ALU
1515934,2964402,6287199,8384759,8383036,8383916,7040566,3930267,ALU
1294136,3226016,6946683,8394793,8390958,8394793,5322478,3834136,ALU
1310108,3228172,7021903,8373385,8395363,8390297,5353406,3834944,ALU
1279124,3212069,6956373,8393828,8393828,8393828,5206799,3809592,ALU
1264254,3185333,6806739,8394777,8394777,8394777,5306061,3838295,ALU
1511447,2903262,6263069,8381573,8395181,8395181,7017260,3915658,ALU
1326744,3270806,7038995,8381268,8388773,8379355,5326227,3829904,ALU
1229493,3170269,6865246,8396968,8396968,8396968,5269310,3839196,ALU
1497923,2912547,6296050,8376581,8399421,8394313,7063041,3958120,ALU
1250477,3152184,6616256,8391484,8391484,8391484,5043218,6145783,ALU
1492115,2934235,6224355,8390202,8386764,8389464,6906750,3881470,ALU
1684050,3450662,6593383,8389511,8369733,8389511,5227537,3834910,ALU
1305275,3214733,7015605,8372692,8395330,8395330,5354127,3835877,ALU
1605371,3645650,7684906,8377469,8395653,8374243,5448957,3779102,ALU
1259299,3179806,6786972,8394850,8394850,8394850,5302670,3838763,ALU
1361542,3301075,7141464,8378536,8389841,8395386,5353556,3822862,ALU
