IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
255053,526269,795039,2318057,1447939,898893,343023,263023,380061,648271,1534603,1876825,1202165,638983,308009,PET
307245,481959,857437,2244363,2236423,1838033,545215,493965,365225,622301,1537679,2342069,2333329,1393953,519649,PET
186735,393953,608531,1233267,1362585,976605,339269,503867,268489,488029,919533,1290885,1155127,657495,390527,PET
259947,519111,809003,1871681,1429731,774423,426395,260597,386647,650331,1372717,1808581,1278603,670219,353551,PET
315733,603149,456145,1699479,717815,427991,331133,196717,438371,516981,1099847,1225571,596255,408559,272319,PET
338847,531929,1152669,2341825,1673063,784863,615975,463053,423585,831811,1589037,1795521,1220655,705619,535739,PET
200853,408729,881681,2854047,2062033,1652555,576313,229199,294069,637005,1709231,2354819,1867289,1066023,370741,PET
389509,343977,911513,2337853,1428237,1592047,663845,295365,358873,632863,1593917,1634973,1221317,1048025,499615,PET
249453,509729,1026937,2299027,2067511,1988173,551917,153911,365389,792921,1689365,2199761,2062981,1269535,327575,PET
220789,561341,615895,1521463,1307075,1519401,455083,213205,373157,554527,1149153,1518297,1431841,1031241,342745,PET
183385,528411,787105,1646025,1176959,815813,590645,206853,326543,636039,1189101,1426027,1028769,724439,401741,PET
147011,622011,979849,2117351,1983975,1442801,682191,188657,365253,736227,1526305,2204203,1854639,1075411,425939,PET
192621,272715,678329,1729817,2290763,1876931,468397,297047,213989,473061,1257165,2056175,2053173,1095535,353191,PET
325249,426407,766697,1801261,1383275,670881,584721,346791,349877,598309,1217675,1499663,1028975,642705,467695,PET
246965,468993,1108403,2145739,1662121,1377017,537649,305561,343139,817259,1905983,2143187,1529699,967591,435141,PET
205385,430631,703351,2231819,2289111,1951761,495441,389433,278833,541095,1486157,2370759,2151233,1233329,441079,PET
242635,489063,945689,2730041,2269283,1603353,556091,336921,359029,714665,1838377,2469425,1905155,1083983,433991,PET
322469,601841,1242473,2767143,2557259,1895209,615267,429225,442107,897659,1984063,2657727,2296295,1324911,536993,PET
331381,579541,979739,2564231,2365869,1919201,694649,410173,426551,778533,1767247,2458367,2161735,1265479,518219,PET
312621,559345,1239071,3101727,2882657,1363191,617289,361895,421259,886037,2098857,2936467,2140199,986159,471497,PET
307639,555381,868853,2980339,2723639,2122585,603389,347525,421673,711535,1932491,2861967,2470343,1370981,456539,PET
404535,631543,1288543,2534297,1770233,1327027,595631,470009,444113,858067,1494891,1627967,1284307,857067,534367,PET
407605,645359,1343529,2964057,2594153,1710927,726379,587973,498047,989895,2171251,2677311,2020031,1193875,659103,PET
337987,554153,1176775,3004085,2579931,1667613,671137,497067,432987,836009,2033335,2707127,2137335,1229929,578935,PET
352989,549937,1099967,2463641,2279221,1985751,629343,576453,427397,802811,1754693,2354331,2125521,1312229,610685,PET
319403,536857,906047,2395083,1678811,772471,597917,426713,406297,712011,1734557,2301883,1384717,688959,515573,PET
215781,579553,1152069,2232165,2016819,1621261,632917,317063,369523,862235,1546375,1946391,1770573,1142025,466093,PET
264487,453771,1035669,2370959,2191271,1903897,524619,360697,335537,754701,1743303,2364467,2141959,1256231,447013,PET
276205,491427,834449,2029027,1776509,1041583,498627,301045,357013,645851,1445183,1829287,1340689,812441,416819,PET
234717,412405,682947,1455829,1082103,962743,395795,306545,311075,529627,1064131,1279813,991789,648333,348947,PET
263265,458209,809177,1710313,1825415,731283,347879,264693,347059,617825,1251117,1771805,1294497,548515,324255,PET
270833,420171,782337,1901001,1615759,1306315,520883,366185,335893,617529,1330075,1706435,1462613,921155,419839,PET
185265,405211,1132657,1706695,1576359,4875025,336231,195385,293937,761413,1415037,1669329,3321627,2673185,264545,PET
353373,415057,852115,1627657,1609223,1292989,555657,256997,342735,678373,1416981,1922057,1805257,1162701,374629,PET
457615,370569,562975,3291155,1304185,2037837,864257,449337,415761,475563,1924001,2317817,1695489,1445905,653015,PET
225201,558221,819011,1997937,2067371,1474091,416125,458449,254235,960221,1839399,2042975,1770415,1021275,474645,PET
