IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
1217709,2051715,3612725,5580879,5497791,2803975,1311927,735107,1465043,2621981,4416205,5480251,4193305,2115061,1058079,PE
1103491,1921333,3578055,5212809,5243135,2831423,1350603,696913,1444977,2696275,4385043,5262595,4074967,2130935,1053213,PE
1502729,2844933,4873981,7166439,6999441,3631629,1770123,854321,1914471,3526555,5647627,6675981,5025109,2587043,1284877,PE
1173281,1983377,3286803,5423983,5431765,3074733,1363647,809345,1494377,2551047,4295689,5412571,4256679,2232245,1091485,PE
792241,1229787,1862403,2591129,2363113,1419991,630933,436353,921405,1453407,2213103,2509061,1962267,1075853,535963,PE
393413,602571,1434935,2262353,2028835,1289811,665505,503791,510201,1065909,2068349,2512117,1995897,1170591,678327,PE
717831,1104657,2420949,4702119,4611669,3056327,1093831,1313739,870819,1728709,3502379,4652533,3849353,2094531,1406699,PE
785369,1252529,1967029,3074717,2625459,1513731,733231,411971,960273,1558811,2502971,2862239,2081337,1133237,574283,PE
903009,1411495,2303045,3520615,3064699,1546403,732881,412223,1091543,1802411,2897791,3307807,2313299,1143605,574685,PE
913607,1492755,2486865,4142813,3306643,1437895,818741,513777,1148321,1944279,3318811,3759223,2384735,1131401,667185,PE
590023,919779,1656473,2183797,2284607,1330973,705719,454681,693757,1227213,1960795,2326923,1844089,1046971,611971,PE
923191,1447203,2070193,3280127,4070155,2395067,1095971,622053,1120927,1710549,2675955,3723403,3262823,1750615,863055,PE
1268671,2157591,3717549,5515057,5665669,3022109,1466099,829419,1613231,2846785,4584813,5597219,4340587,2248751,1153149,PE
1559665,2998155,4827735,7095787,7657035,3753485,2093123,1083433,2144491,3780187,5903765,7386993,5714089,2930607,1590821,PE
1356833,2167101,3581663,6098235,4331971,2244573,1334979,733523,1664395,2786321,4805247,5231011,3302345,1796423,1040459,PE
1247115,2038285,3295967,5653661,4880357,3088639,1313811,768211,1549401,2623079,4601585,5336175,3944277,2216441,1019049,PE
1153711,1851035,2990105,4689441,4329095,2836665,1369513,988805,1425501,2378877,3843207,4593565,3760467,2211611,1208199,PE
1396349,2316265,3881921,6477825,6326271,3609323,1569191,994367,1768679,2974809,5096031,6275925,4825807,2566385,1263447,PE
1140763,1931719,2975953,4986195,5271535,3164209,1390449,800461,1437083,2380195,3991921,5186083,4242225,2287303,1099941,PE
1032003,1607995,2616879,3944049,3426151,1694299,792883,478671,1232493,2017675,3179699,3599873,2528177,1249859,640569,PE
899999,1411691,2192525,3447973,2951531,1672193,763495,433209,1090637,1747763,2807919,3214805,2321171,1224643,601243,PE
1426215,2518091,3957637,7057841,7498283,4406159,2032991,1130595,1866457,3143749,5469887,7283531,5961755,3233035,1588793,PE
981903,1552883,2457429,3723973,3310129,1814121,867089,476261,1198687,1941647,3060741,3516867,2564105,1342159,671639,PE
1137419,1711585,2621569,3585273,3687975,2124333,1141049,631161,1336943,2099369,3137843,3755397,2984671,1661385,905553,PE
651667,1007071,1451599,2130407,2053471,1234205,710425,414437,792357,1219275,1825615,2161613,1732553,1014835,573843,PE
801021,1245807,1911425,3305557,2805419,1386071,649033,391623,973467,1538215,2626721,3103447,2113009,1024131,520561,PE
1229643,1958901,3132085,4708745,4505731,2480423,1075929,607777,1502643,2463017,3917477,4662357,3523103,1800205,839569,PE
1330203,2066751,3294135,4726553,4790435,2471511,1094509,642999,1601053,2598801,3989261,4782637,3646835,1792315,873277,PE
864605,1335473,2331649,3034899,3231125,1714979,749473,453957,901437,1587047,2447645,3011197,2446763,1257449,639997,PE
531899,835279,1638907,2359583,2396485,1428377,626509,410661,596431,1118741,1911571,2399541,1977757,1077407,562309,PE
685741,1068199,1900861,2962707,2971331,1845319,983411,638221,898573,1541423,2551749,3065201,2418839,1420855,821635,PE
888113,1463811,2527215,4366207,4367287,2546643,1107681,712093,1124039,1968789,3501285,4482689,3541545,1868983,929359,PE
1636479,2603311,4373475,5875353,6074497,2914619,1498449,820057,2043411,3450427,5150633,6060647,4564553,2238437,1169899,PE
1423729,2287349,3641431,4996437,4771623,2367867,1164647,593287,1750529,2875135,4298479,4929703,3621775,1794979,884399,PE
785915,1182361,2065685,2895943,2844975,1376475,678821,347675,933229,1583829,2469611,2879219,2116395,1032403,515497,PE
839591,1266217,2200013,3007291,3300775,1663291,689887,403267,995529,1683225,2589299,3168509,2489115,1181447,548853,PE
721221,1093967,1881501,2588155,2820161,1418697,669041,355465,858807,1443249,2214903,2709607,2123641,1048611,518237,PE
1318407,2169867,3513457,5171217,5125825,2561771,1251413,641501,1654807,2766617,4326835,5179827,3858375,1917467,963427,PE
944657,1493855,2334905,3637179,3307221,1865993,857797,471387,1150017,1857741,2971989,3487143,2596029,1367315,666459,PE
421489,608105,977479,1749457,1674841,1127717,405791,239139,487967,770923,1358155,1720947,1406531,768977,323913,PE
581891,858849,1599773,2381889,1873777,1183483,456609,265709,682829,1203333,2013003,2136143,1515751,827841,359383,PE
1220591,1982455,3270271,5288489,5383607,3158129,1384321,824365,1525797,2569903,4279083,5372109,4286329,2282395,1111687,PE
