IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
276301,533868,849648,2327930,2124373,1537235,510415,467239,381642,683836,1607182,2184603,1810513,1038375,480628,PET
285483,485410,926810,2234821,1958791,1190239,517893,303010,373849,705080,1606384,2168029,1640153,871469,406855,PET
218622,347066,844756,1823085,1546778,1392867,533366,129852,285733,613128,1324215,1652546,1453198,961907,339163,PET
397843,859576,1555602,4014996,2812511,2165848,572918,459036,602387,1189266,2766332,3384929,2469837,1373840,521845,PET
305962,551499,1000994,2266921,2075873,1664897,544925,290293,406715,777974,1685682,2212504,1860984,1094474,410553,PET
131343,374818,478994,1129965,1702298,1090626,365796,162872,242224,430720,802294,1384907,1381084,723970,259794,PET
341930,554369,1117947,2768427,2724296,2117465,609923,475139,423921,818947,1908879,2651061,2388481,1369318,535189,PET
153650,338255,463405,1616413,2320242,1975878,440282,273272,240407,409046,1078828,2033438,2213344,1245825,363978,PET
328176,680783,1465495,3513916,1536864,1611967,605078,285187,487535,1016714,2251004,2410227,1669199,1133999,432632,PET
337207,553943,1197799,2952192,2504438,1579625,648376,471970,431136,852200,2043308,2687525,2062190,1153984,557304,PET
347239,567924,751935,1960348,1340609,1061510,654308,491783,430887,638995,1348645,1691206,1259727,880331,603169,PET
254722,507907,1117946,2859400,2476559,990930,593059,562283,364514,810686,1930498,2549866,1701353,770549,543507,PET
269949,524776,843999,2304562,2138116,1537775,508524,447134,373802,676328,1594903,2186328,1815864,1029311,466491,PET
403917,577126,1246213,2676608,1555643,1072502,510653,211859,474969,904801,1933662,2087084,1306960,782992,345774,PET
361860,507329,1162406,2705527,1646495,1094860,491965,265394,414223,796022,1943906,2204410,1340128,802666,393251,PET
283619,485906,880887,1837615,1624500,525250,367119,251941,370299,651355,1361990,1750546,1075758,437125,315562,PET
294225,486084,1057274,2402102,2220824,1931401,559808,433195,366403,770866,1747130,2361061,2136435,1275047,502010,PET
295537,522594,956917,2297040,2327091,1679263,565415,436330,399177,734739,1604011,2289089,2042247,1193187,488658,PET
179472,586184,967493,2167500,1936668,1419229,653095,209842,360490,721386,1549044,2181349,1799520,1044200,422384,PET
126446,283254,461342,1202273,1557455,938674,331000,140204,201806,374782,826315,1336848,1223612,632959,228770,PET
342155,528266,1164380,2660713,2282518,1389839,449130,394186,405979,829393,1885890,2506225,1910716,937529,426739,PET
274701,479567,1040561,2233548,1971696,2071862,535241,175694,362667,776191,1651061,2098872,2054466,1323748,335784,PET
283596,520888,912605,2236947,1824376,1325365,579890,300529,374294,684592,1557024,2087472,1621861,949158,444699,PET
215994,411935,775145,1889340,2075043,1725971,638433,449333,305934,567673,1334053,1911678,1811158,1165688,529287,PET
149233,465153,559185,1231103,1774403,1190803,407866,210561,295308,520310,1035829,1624169,1500623,829088,316755,PET
161908,617153,980954,2129134,1991951,1453076,670421,200809,369835,739359,1539661,2205237,1849881,1072432,426814,PET
208234,336874,638985,1580312,2331585,1894166,435418,274663,254666,483547,1154709,1997596,2081747,1089063,329821,PET
261458,701427,1601437,3428364,2623573,2378289,516138,323736,457931,1118044,2507387,3053041,2513380,1446390,423433,PET
165123,391024,588820,1411551,1614568,1019001,372370,221737,276781,497605,1220304,1709257,1344862,752191,308685,PET
344336,374249,760938,1702928,1863402,1058638,482646,261200,362140,694975,1324753,1955413,1621048,849533,367609,PET
310529,557326,905081,2400682,2094400,1569155,520675,461876,410854,717544,1651849,2360025,1888605,1022203,482281,PET
