IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1009553,1662777,2912769,1235163,2197465,LDPE
994877,1706345,2955013,1249059,2240209,LDPE
984349,1670223,2946353,1226691,2217159,LDPE
1045847,1688209,3029257,1263547,2265997,LDPE
1049413,1687987,3032545,1263865,2267811,LDPE
1047875,1682469,2971437,1260885,2237395,LDPE
1057019,1652939,2777655,1254613,2135041,LDPE
818825,1429059,2427743,1038155,1850411,LDPE
832495,1418103,2406103,1029721,1825033,LDPE
802979,1393507,2402573,1019755,1820945,LDPE
1640477,2812059,4618221,2053753,3560873,LDPE
1615547,2825827,4670097,2049735,3591299,LDPE
1625863,2796971,4593741,2030541,3517997,LDPE
1180197,1978407,3275057,1454931,2516033,LDPE
1182495,1982229,3298521,1464115,2537273,LDPE
1188291,1995527,3216907,1469421,2501589,LDPE
1090399,1777413,3123707,1323645,2353191,LDPE
1087749,1749713,3047285,1310755,2304663,LDPE
1049239,1722043,2969799,1285733,2257989,LDPE
1229129,2042041,3437965,1515699,2645353,LDPE
1190351,2077313,3501493,1509831,2678289,LDPE
987985,2033589,3299665,1395625,2550645,HDPE
992033,2043305,3311875,1399529,2558603,HDPE
967793,2617937,3975225,1670571,3171047,HDPE
1073025,2596131,4221975,1699357,3270559,HDPE
1013065,2494465,4118677,1627355,3175037,HDPE
1264449,2186883,3859033,1597127,2905361,HDPE
1265169,2189677,3863787,1596069,2906961,HDPE
1589507,3083057,5088973,2163507,3921113,HDPE
1349867,2279331,4020455,1674919,3025633,HDPE
1348471,2283101,4036143,1676551,3035629,HDPE
1288167,2202745,3982629,1615783,2973205,HDPE
1274005,2186857,3868985,1598755,2909071,HDPE
1313117,2238215,3982005,1638633,2988729,HDPE
914509,1490375,2638545,1108675,1983107,HDPE
909971,1488599,2593879,1101697,1958769,HDPE
897123,1475217,2582247,1096613,1950005,HDPE
909143,1372087,2785233,1049125,1998773,HDPE
876959,1507973,2953495,1104975,2148191,HDPE
894287,1351653,2869109,1036383,2030833,HDPE
1052903,1648933,2871639,1247247,2169703,HDPE
1041603,1633901,2852695,1236623,2152163,HDPE
976981,1586845,2719467,1183579,2067633,HDPE
948635,1542787,2704121,1151747,2039813,HDPE
1474435,2465773,3995665,1820033,3099611,HDPE
1293337,2114475,3659783,1577391,2778597,HDPE
1380819,2199693,3505997,1653765,2741291,HDPE
850349,1388719,2723869,1032095,1977601,HDPE
936271,1469015,2864503,1106813,2066717,HDPE
897945,1402859,2713965,1061325,1978255,HDPE
1349337,2285673,3868401,1678935,2956435,HDPE
1331809,2266587,3857701,1669627,2953703,HDPE
965417,1583267,2770511,1178491,2096341,HDPE
967101,1593115,2791331,1183071,2108513,HDPE
1036777,1622873,2953031,1230847,2207183,HDPE
1066507,1677897,2964335,1270359,2229463,HDPE
959075,1563669,2760999,1163953,2077175,HDPE
974809,1587619,2842987,1182683,2127995,HDPE
869279,1386085,2887349,1043547,2055331,HDPE
842447,1455931,2724079,1062899,2011515,HDPE
1429315,2369221,3978179,1753781,3046499,HDPE
1405891,2274259,3655063,1691227,2840603,HDPE
888643,1486725,2596787,1098733,1963497,HDPE
886811,1427829,2456899,1068315,1865705,HDPE
1291329,2086613,3418887,1561319,2642819,HDPE
1285391,2104697,3496781,1567187,2691141,HDPE
1284579,2095893,3584439,1565623,2732649,HDPE
1285273,2103373,3489385,1565555,2684771,HDPE
1244229,2185143,3488569,1583901,2718023,HDPE
1162547,2060055,3393489,1488855,2617637,HDPE
1242137,2019411,3146099,1512267,2489165,HDPE
902531,1342959,2375361,1032075,1784795,HDPE
854349,1408455,2721725,1046177,1985115,HDPE
843725,1326741,2397661,1000913,1790819,HDPE
1058175,1727231,2963925,1286345,2251461,HDPE
994535,1603153,2770719,1198307,2100917,HDPE
1472971,2410643,4022663,1793433,3086635,HDPE
1349353,2239499,3766405,1658769,2881597,HDPE
1003765,1647869,2798981,1223935,2134363,HDPE
1454685,2393675,3783549,1768043,2948803,HDPE
1441971,2380913,3762151,1760755,2937891,HDPE
1493673,2396147,3817039,1803899,2991317,HDPE
1045907,1666709,3011627,1259675,2297713,HDPE
1038573,1703657,3012899,1266473,2263567,HDPE
1004827,1757245,3050247,1273431,2306673,HDPE
1043937,1795247,3043665,1312537,2322183,HDPE
1002573,1717027,2938745,1255907,2235739,HDPE
984331,1839749,3040859,1302391,2341219,HDPE
947949,1739701,2912417,1252989,2249675,HDPE
1141193,1840551,3199291,1376677,2422587,HDPE
1429763,2476799,4237909,1803673,3223845,HDPE
1373649,2492885,4154797,1791459,3195149,HDPE
1008843,1636993,2808685,1223407,2134135,HDPE
1023873,1662409,2882919,1240563,2184081,HDPE
1532867,2497845,4179317,1860603,3204923,HDPE
1078079,1763915,3010665,1310275,2292499,HDPE
988269,1606963,2761863,1197391,2096777,HDPE
1137117,1801721,3248451,1357435,2424417,HDPE
952389,1565295,2820431,1160939,2107005,HDPE
874635,1484487,2750701,1088225,2036711,HDPE
985217,1607599,2921361,1197095,2173757,HDPE
830789,1386957,2475201,1024079,1855147,HDPE
897323,1461427,2785959,1088221,2041291,HDPE
1047945,1699813,2938807,1265161,2222445,HDPE
1003129,1677733,2905117,1233401,2196747,HDPE
1043169,1688943,2870613,1261205,2188539,HDPE
658435,977203,1691229,753023,1277075,HDPE
474073,821845,1397103,598325,1062889,HDPE
1522575,2468093,4228413,1836679,3212391,HDPE
1484859,2430887,4150783,1812415,3165797,HDPE
1464399,2469499,4243687,1816907,3221183,HDPE
1247523,2083053,3368483,1544565,2624807,HDPE
1272709,2133511,3509209,1570257,2706231,HDPE
892497,1453091,2726331,1083145,2008721,HDPE
835473,1393199,2578225,1030399,1906713,HDPE
1356767,2258219,3483913,1665557,2753323,HDPE
1373123,2269317,3815801,1683173,2920367,HDPE
1363659,2282805,3673887,1684229,2856563,HDPE
1369651,2278035,3814989,1685075,2924057,HDPE
956197,1579491,2839659,1171273,2122555,HDPE
889113,1623877,2871071,1158595,2157991,HDPE
1007319,1660263,2833657,1232199,2157449,HDPE
1035109,1687051,2870733,1252641,2183959,HDPE
1473853,2358549,3827521,1767925,2967935,HDPE
1431251,2373387,3855069,1758757,2990179,HDPE
1066121,1742121,2929711,1298013,2242937,HDPE
1094651,1785679,3038047,1330969,2316123,HDPE
1543905,2465257,4007805,1853871,3103135,HDPE
1022795,1677265,2858555,1246365,2177215,HDPE
1454111,2440443,4290093,1798711,3229947,HDPE
1228603,2054863,3362231,1516167,2598493,HDPE
1237163,2069441,3417953,1527017,2634607,HDPE
1230299,2058035,3393691,1519805,2617081,HDPE
1204751,2034165,3369791,1496091,2593855,HDPE
872629,1478135,2713613,1087235,2027145,HDPE
1010321,1757625,2894481,1278361,2233669,HDPE
982131,1585697,2547233,1178609,1957187,HDPE
830877,1430559,2304235,1045129,1795851,HDPE
1212071,2162147,3556001,1560077,2742719,HDPE
