IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1179613,2048511,3434371,5692909,5687965,3432177,1405887,937467,PE
1212035,2070381,3430293,5645587,5817635,3944607,1537885,1070695,PE
1213147,2069525,3428727,5642075,5815657,3941221,1534877,1070991,PE
1726795,3075065,5111149,8386137,8131159,4569569,2291621,1242471,PE
1726321,3073295,5103589,8386403,8233635,4540381,2268881,1225311,PE
1143175,1892429,3182735,5772705,6392383,4645245,1466649,1144443,PE
1144393,1929385,3245267,5465767,5578759,3806979,1504819,1059279,PE
1110765,1934919,3308345,5640647,5466021,3375813,1313957,959241,PE
1217725,2114607,3524279,5912355,6010761,3736739,1569765,1110355,PE
1626803,3181729,5865363,8386211,8385591,7242493,3044347,1896181,Other
1908977,3566589,6163493,8367871,8367851,8370075,4271925,2305239,Other
1296695,2163389,3581217,5385169,4603197,1025449,553907,341107,Other
1720257,3276803,4963823,8376799,8376605,5695523,3064159,1485079,Other
1348815,2180627,3622463,5518405,4358519,998927,508571,306901,Other
675661,1494065,3386037,8372863,8372519,6035713,2690277,1313909,Other
2430535,4509017,7536343,8387471,8387813,8387109,4019535,2181965,Other
2366791,4365349,7343143,8387669,8386715,8387317,4007689,2182599,Other
51791,124789,153871,194653,117275,92741,132655,44213,Other
1375775,2456333,4235869,8386213,7889725,4900973,2451185,1429177,Other
11249,86361,125503,168331,114637,77011,104105,6483,Other
474443,811975,1391267,2850791,2574945,1601183,718493,416423,Other
2065221,3945509,6689041,8375457,8386747,7786577,3647619,2055815,Other
38581,108649,145181,193741,140373,107073,128721,42787,Other
51735,137817,172997,222945,155523,125621,143015,56731,Other
47139,106711,137871,202583,148677,109461,128597,39421,Other
1302257,2612647,4679009,8373589,8377209,5253803,2264351,1273679,Other
377693,479663,1350533,3348865,3357509,4395821,1995647,925539,Other
783099,1542965,2757199,6496019,5590565,3656357,1757953,991299,Other
-1,-1,-108407,146719,104473,110391,273029,232797,Other
21027,242609,273353,355461,299599,328257,343913,176489,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
22785,112181,143095,201539,142151,100433,126239,42491,Other
567283,1021239,1717599,3617079,2921281,1810687,810507,447881,Other
421265,705955,1460893,3630139,3147275,2330037,746033,521065,Other
152437,284709,513049,1135753,949711,713459,322389,197259,Other
75457,102805,101251,169027,139519,123975,152469,48459,Other
48329,135291,258385,493821,388127,299419,150151,46941,Other
143505,286567,517157,1112785,924827,687419,328119,201113,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
472005,856437,1375875,3002425,2363853,1553229,693935,402147,Other
1787947,3523831,5631333,8395653,8378011,6231861,3379963,1452183,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
60567,79493,130965,190081,132105,97297,110311,24227,Other
44713,108837,154693,211251,143313,109507,130555,44125,Other
27813,136917,160791,168673,59659,-188095,-191291,-139809,Other
482149,858107,1403955,3015047,2426885,1676621,717265,406299,Other
518151,897063,1534285,3184213,2620065,1721399,750993,440845,Other
612165,1083381,1805591,3731051,2849041,1866789,846709,479079,Other
-36197,-54831,-136199,-151183,-277541,-216527,-123197,-196771,Other
46505,103055,150147,199367,137731,111481,124835,44231,Other
1135421,1802375,2461533,2563933,1624101,411081,259615,158817,Other
1728105,3483059,5476713,8385057,8370721,5870139,2143329,899413,Other
31401,92393,131175,170901,136239,103979,96719,-5867,Other
42571,104957,145255,195259,139553,107659,128217,44905,Other
45135,115753,156343,196791,146023,111753,134383,52649,Other
467291,819443,1345401,2828863,2346309,1615989,669407,381151,Other
68797,138783,159245,219121,154795,116973,145721,49221,Other
45445,190973,391969,706667,678469,614163,224329,184775,Other
363239,596251,1958249,4278091,3787075,3311387,717709,825511,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
-1,-1,-1,-1,-1,-1,-239805,-209413,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
151517,283469,509949,1129495,935463,699129,321851,193121,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
46041,102313,147029,193557,141415,110075,125155,48597,Other
39801,115193,140557,200465,139263,102773,134581,37393,Other
-5219,90139,162847,228565,160689,142811,179499,73739,Other
465841,823997,1346725,2867587,2384205,1619099,687827,401011,Other
