IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
1536705,3409051,6815020,8363052,8383370,8383370,4762986,8027663,ALU
1648783,3047144,6550253,8388279,8388279,8388279,7232265,4018688,ALU
1533722,2903328,6216265,8389316,8389316,8389316,6919357,3819931,ALU
1494692,2903214,6298278,8375749,8399594,8399594,7090906,3987668,ALU
1523316,2985560,6285517,8390041,8367907,8390041,7103839,3993522,ALU
1546976,3024270,6399980,8387540,8387540,8387540,6968214,3890167,ALU
1557449,3028901,6443867,8388791,8388791,8388791,6764565,3849148,ALU
1308187,2803131,5951130,8398721,8398721,8398721,6876607,3893292,ALU
1480100,2928245,6176118,8398394,8377726,8398394,6856282,3894467,ALU
1508209,2942258,6288961,8379232,8398871,8377506,6974344,3864063,ALU
1218264,3113546,6873810,8395373,8395373,8395373,5149417,3828788,ALU
1279115,3212064,6956387,8393827,8393827,8393827,5206658,3809560,ALU
1300481,3225722,6972561,8394371,8394371,8394371,5231623,3809367,ALU
1228887,3170463,6864471,8396999,8396999,8396999,5268569,3839240,ALU
1284968,3198528,6913884,8396530,8396530,8396530,5278230,3832734,ALU
1260545,3180189,6783799,8394763,8394763,8394763,5304067,3838744,ALU
1286785,3216580,6946065,8394869,8394869,8394869,5318173,3835570,ALU
1275279,3155638,6923845,8394685,8394685,8394685,5325324,3835894,ALU
1315371,3251682,7008888,8393786,8373916,8393786,5270622,3828248,ALU
1331849,3274420,6949854,8394407,8370897,8394407,5344565,3826786,ALU
1331866,3279419,7052554,8375631,8395465,8372856,5351270,3830650,ALU
1333090,3240801,7064545,8371839,8395259,8395259,5356127,3829975,ALU
1303825,3213374,7013053,8372737,8395334,8395334,5354023,3836185,ALU
1291696,3217563,6961453,8375696,8395650,8372878,5370395,3839332,ALU
1434510,3455651,7338728,8395712,8375948,8395712,5346963,3804623,ALU
1449743,3435628,7307151,8395873,8395873,8375356,5423213,3754512,ALU
1540109,3562960,7544741,8395211,8395211,8395211,5432135,3790594,ALU
1529805,3555516,7533455,8396839,8376759,8396839,5370448,3793313,ALU
1582116,3621407,7649424,8395659,8395659,8395659,5447367,3744910,ALU
1608029,3648420,7688961,8375391,8395653,8371797,5449139,3783009,ALU
1613613,3671238,7787954,8375202,8395273,8372476,5460924,3767678,ALU
1731441,3478454,6546535,8388911,8366689,8388911,5227033,3838067,ALU
1724228,3651136,7743268,8371492,8394229,8394229,4976512,3563767,ALU
1771049,3750111,7792046,8375040,8394591,8394591,4978188,3564117,ALU
1773075,3755206,7687601,8393869,8370691,8393869,4979161,3565049,ALU
1329811,2419535,3965577,7226193,7275513,3838815,1878521,915883,PLA
1317923,2434945,4124723,7231599,7130829,3775409,1862313,987065,PLA
1145973,2250131,3399373,5548059,5343983,2777753,1588811,723429,PLA
1280717,2384727,3972921,6709653,6496209,3245895,1781301,863149,PLA
1240535,2367703,4015851,7551497,7000955,3935869,1896337,908677,PLA
1223107,2413331,3674865,6529975,5924673,3198891,1755311,965747,PLA
1440717,2708037,4634241,8386167,8387573,5221471,2523927,1288445,PLA
1442261,2742197,4735879,8388531,8387459,5109015,2538753,1279381,PLA
1229369,2300105,3697311,7392837,6543629,3158345,1709599,794797,PLA
1473661,2749829,4645761,8034591,8054121,3985573,2027275,1008045,PLA
1473869,2776949,4708859,8278619,8387837,4044089,2062857,1016943,PLA
889637,1696607,3015703,8383253,6329041,3274937,1306465,854319,PLA
1467421,2649821,4352681,7761093,8387867,4059383,2058789,991849,PLA
2226593,3808629,6385311,8386991,8386309,5805211,2829827,1348731,PLA
1423783,2589157,4327243,7894507,7701741,4147369,1979343,1035503,PLA
1520249,2780737,4489803,7676819,8119845,4109947,2135247,1011799,PLA
1565235,2794811,4581107,8001577,8139065,4245537,2178127,1031441,PLA
1317021,2404639,3996443,6963463,6314465,3346365,1738687,860307,PLA
1626803,3181729,5865363,8386211,8385591,7242493,3044347,1896181,Other
1908977,3566589,6163493,8367871,8367851,8370075,4271925,2305239,Other
1296695,2163389,3581217,5385169,4603197,1025449,553907,341107,Other
1720257,3276803,4963823,8376799,8376605,5695523,3064159,1485079,Other
1348815,2180627,3622463,5518405,4358519,998927,508571,306901,Other
675661,1494065,3386037,8372863,8372519,6035713,2690277,1313909,Other
2430535,4509017,7536343,8387471,8387813,8387109,4019535,2181965,Other
2366791,4365349,7343143,8387669,8386715,8387317,4007689,2182599,Other
51791,124789,153871,194653,117275,92741,132655,44213,Other
1375775,2456333,4235869,8386213,7889725,4900973,2451185,1429177,Other
11249,86361,125503,168331,114637,77011,104105,6483,Other
474443,811975,1391267,2850791,2574945,1601183,718493,416423,Other
2065221,3945509,6689041,8375457,8386747,7786577,3647619,2055815,Other
38581,108649,145181,193741,140373,107073,128721,42787,Other
51735,137817,172997,222945,155523,125621,143015,56731,Other
47139,106711,137871,202583,148677,109461,128597,39421,Other
1302257,2612647,4679009,8373589,8377209,5253803,2264351,1273679,Other
377693,479663,1350533,3348865,3357509,4395821,1995647,925539,Other
783099,1542965,2757199,6496019,5590565,3656357,1757953,991299,Other
-1,-1,-108407,146719,104473,110391,273029,232797,Other
21027,242609,273353,355461,299599,328257,343913,176489,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
22785,112181,143095,201539,142151,100433,126239,42491,Other
567283,1021239,1717599,3617079,2921281,1810687,810507,447881,Other
421265,705955,1460893,3630139,3147275,2330037,746033,521065,Other
152437,284709,513049,1135753,949711,713459,322389,197259,Other
75457,102805,101251,169027,139519,123975,152469,48459,Other
48329,135291,258385,493821,388127,299419,150151,46941,Other
143505,286567,517157,1112785,924827,687419,328119,201113,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
472005,856437,1375875,3002425,2363853,1553229,693935,402147,Other
1787947,3523831,5631333,8395653,8378011,6231861,3379963,1452183,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
60567,79493,130965,190081,132105,97297,110311,24227,Other
44713,108837,154693,211251,143313,109507,130555,44125,Other
27813,136917,160791,168673,59659,-188095,-191291,-139809,Other
482149,858107,1403955,3015047,2426885,1676621,717265,406299,Other
518151,897063,1534285,3184213,2620065,1721399,750993,440845,Other
612165,1083381,1805591,3731051,2849041,1866789,846709,479079,Other
-36197,-54831,-136199,-151183,-277541,-216527,-123197,-196771,Other
46505,103055,150147,199367,137731,111481,124835,44231,Other
1135421,1802375,2461533,2563933,1624101,411081,259615,158817,Other
1728105,3483059,5476713,8385057,8370721,5870139,2143329,899413,Other
31401,92393,131175,170901,136239,103979,96719,-5867,Other
42571,104957,145255,195259,139553,107659,128217,44905,Other
45135,115753,156343,196791,146023,111753,134383,52649,Other
467291,819443,1345401,2828863,2346309,1615989,669407,381151,Other
68797,138783,159245,219121,154795,116973,145721,49221,Other
45445,190973,391969,706667,678469,614163,224329,184775,Other
363239,596251,1958249,4278091,3787075,3311387,717709,825511,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
