6070671	6068130	6067125	6065574	6064487	6062226	6061457	6059554	6059121	6057928	6057451	6056754	6056001	6055558	6054203	6054572	6053231	6053204	6052481	6052086	6051849	6051570	6051207	6050564	6050991	6049658	6050469	6049524	6049255	6048708	6048561	6048196	6047795	6047526	6047385	6047472	6046091	6046830	6046415	6046628	6045571	6045420	6044691	6044580	6045259	6044562	6045105	6043754	6044251	6043178	6043079	6043278	6042997	6043438	6042869	6043108	6041929	6042998	6042367	6042360	6042955	6042574	6043629	6043188	6043631	6042710	6043165	6042888	6043001	6042604	6042203	6042602	6041721	6042606	6041671	6041730	6041521	6042348	6041539	6041628	6041397	6041226	6041121	6041026	6041013	6040158	6041021	6040240	6040847	6040468	6040303	6040330	6039611	6039902	6039019	6039780	6038913	6039252	6039011	6039134
6071475	6069472	6067347	6065506	6064275	6062606	6061769	6060194	6060411	6059078	6057973	6057442	6056793	6056326	6055119	6055136	6053813	6054496	6053545	6053558	6053303	6052744	6051979	6051916	6051825	6051550	6051705	6050008	6050359	6049650	6049955	6049276	6049049	6048652	6048241	6048164	6047521	6048168	6047263	6047178	6046161	6046390	6046105	6045924	6045845	6045008	6045399	6044618	6045309	6044516	6044595	6044412	6044463	6044328	6043635	6043876	6043033	6043534	6042491	6042974	6042551	6042762	6041725	6041888	6041657	6041270	6041345	6040848	6041603	6040450	6041101	6040340	6040369	6040078	6040251	6040288	6039955	6040496	6039543	6039954	6039437	6040052	6039353	6039648	6040489	6039766	6040237	6039270	6039435	6038254	6039023	6038300	6038423	6038164	6038069	6037854	6037507	6038096	6036941	6037616
6073845	6070872	6068913	6066328	6065901	6064358	6063329	6061814	6061135	6060276	6059259	6058658	6057697	6058100	6056637	6056286	6055347	6055104	6054651	6054308	6054095	6053112	6053119	6052572	6052315	6051420	6051557	6051070	6050463	6050794	6049747	6050422	6049235	6049616	6048963	6049122	6049177	6049120	6048641	6048090	6047907	6046730	6047235	6046626	6047187	6046190	6046293	6045926	6045687	6045360	6044647	6045366	6044313	6044962	6044399	6044714	6044121	6043882	6043943	6043250	6043689	6043164	6043295	6042888	6043201	6042568	6042441	6042352	6042179	6041772	6041633	6041894	6040625	6041406	6040711	6040738	6040893	6040420	6040417	6040208	6040079	6039450	6040089	6039660	6039817	6039096	6039439	6039334	6039281	6039372	6038419	6039250	6038403	6039128	6038765	6039780	6039617	6039284	6038531	6038312
6070623	6068554	6065893	6064866	6062701	6061424	6060141	6058792	6058993	6058144	6057587	6055986	6055407	6054144	6054679	6053424	6053591	6052400	6051375	6051906	6051059	6050964	6050017	6050552	6049409	6049172	6049253	6048392	6048199	6047300	6047901	6047186	6047527	6046312	6046971	6045780	6045615	6045332	6045349	6044814	6044521	6044920	6043763	6044882	6044037	6044198	6043831	6043426	6043689	6042718	6043279	6042462	6043027	6041688	6042359	6041560	6041791	6041992	6040991	6041284	6040737	6041020	6040037	6040714	6039963	6040358	6040721	6041060	6040003	6039706	6039721	6039788	6040299	6039230	6039781	6038726	6039021	6039150	6038915	6039032	6038221	6038656	6038005	6038726	6037681	6038392	6037711	6037796	6037749	6037390	6037543	6037076	6037905	6036720	6037359	6036656	6037245	6036572	6036525	6036436
6070999	6069020	6065357	6064748	6062809	6062132	6059847	6059886	6058623	6057868	6057027	6056580	6055555	6055194	6054679	6054036	6053691	6052220	6052831	6051284	6051077	6050788	6050087	6051178	6050117	6050734	6049139	6049370	6048389	6048464	6048057	6047206	6047481	6046466	6046733	6046046	6046553	6045626	6046227	6045616	6045755	6045480	6044691	6045428	6044449	6044656	6044123	6044056	6043531	6043684	6043395	6042852	6042941	6042510	6042623	6041672	6042233	6041636	6042243	6041522	6041433	6041362	6041413	6041104	6040197	6040612	6039849	6041174	6039717	6039944	6040013	6039546	6039571	6039318	6039549	6038946	6039263	6038816	6039115	6038434	6038871	6039054	6039187	6039238	6037817	6038872	6037651	6038626	6037741	6037968	6037155	6037040	6037455	6036224	6036753	6036098	6037033	6036066	6036541	6035950
6068269	6065340	6063311	6061152	6059927	6058524	6057103	6056572	6055021	6055068	6053783	6053406	6052455	6052460	6051599	6051000	6050895	6050586	6050711	6049864	6049381	6048822	6048595	6047680	6048255	6047144	6046951	6046798	6045863	6046210	6045239	6045468	6044935	6044766	6044579	6044384	6044301	6043172	6043577	6042618	6042861	6042236	6042783	6041866	6041703	6041930	6041129	6041368	6040799	6041764	6040491	6040872	6040057	6040718	6040457	6040236	6040113	6040028	6040281	6039120	6039661	6038936	6039413	6038874	6038971	6038860	6038453	6038978	6037993	6038966	6037787	6038234	6037599	6037958	6037703	6037490	6038445	6038070	6038461	6037428	6037681	6037056	6037589	6037058	6036939	6036468	6036361	6036962	6035961	6036358	6035919	6036454	6035929	6036196	6035923	6035922	6035777	6035608	6035929	6034956
6069649	6066952	6064835	6062568	6061343	6059658	6058891	6057532	6056681	6056050	6054529	6054466	6053397	6052978	6052423	6052106	6051467	6050918	6050469	6049426	6049903	6048632	6049199	6047836	6048825	6047434	6047369	6046706	6046759	6046290	6045979	6045786	6045231	6046110	6044703	6045230	6044571	6044384	6044223	6044166	6043795	6043316	6043645	6042814	6043041	6042704	6042541	6041962	6041909	6041850	6041125	6041492	6040629	6041750	6040659	6041248	6040327	6040418	6040999	6040716	6040167	6039606	6040017	6039016	6039525	6038734	6039137	6038734	6038113	6038230	6038111	6038410	6037889	6038544	6037403	6038622	6038347	6038110	6037965	6037282	6037941	6037342	6038149	6037324	6037633	6037004	6037051	6036912	6036823	6036446	6036537	6036494	6035939	6036624	6035731	6035908	6035995	6036010	6035707	6035426
6062147	6060384	6057875	6056990	6055733	6055200	6055117	6054530	6053889	6052442	6053149	6050672	6050489	6048696	6047889	6046806	6045353	6044428	6043899	6045014	6043981	6044540	6043451	6043760	6042953	6042798	6041999	6042166	6042309	6041308	6042381	6041334	6041639	6040562	6041115	6040332	6040079	6040664	6040255	6040918	6039349	6039822	6039255	6039172	6038611	6038402	6038351	6038122	6038137	6037520	6037947	6037172	6038251	6036814	6037323	6037490	6037917	6037892	6037913	6037888	6036681	6037198	6036113	6036808	6036135	6037040	6036349	6035990	6035977	6035942	6036259	6035286	6035883	6035076	6036021	6035424	6035063	6035306	6034827	6035444	6034747	6034984	6034111	6034628	6034343	6034378	6034317	6033846	6033965	6033678	6034111	6033314	6033755	6032896	6033407	6033972	6034253	6034184	6032603	6032954
6070067	6066766	6064633	6063020	6061451	6060136	6058565	6057738	6056163	6055736	6054313	6053870	6053229	6052224	6052281	6051158	6051261	6049944	6050213	6048248	6048175	6047738	6046649	6046936	6046007	6046082	6045959	6046632	6045603	6046396	6045419	6045006	6044663	6044192	6043975	6042848	6043681	6043108	6043307	6042786	6042791	6042406	6041973	6041406	6041155	6041076	6040143	6040750	6039731	6041076	6041429	6040552	6039897	6039284	6039141	6038012	6038113	6037612	6038053	6037306	6037327	6036832	6036565	6037182	6036193	6036624	6036029	6036440	6035687	6036178	6035785	6035886	6035463	6035320	6035427	6034816	6035775	6034994	6035397	6034644	6034939	6034398	6034801	6035136	6034449	6034778	6033773	6034274	6034063	6034938	6034009	6033670	6033577	6033628	6033937	6033518	6034403	6033034	6033269	6032782
6064393	6061840	6059437	6057202	6056909	6054718	6054175	6052918	6052101	6051544	6050123	6050302	6048975	6048912	6047619	6047494	6046517	6046130	6045859	6045164	6045135	6043922	6044305	6043282	6043751	6042814	6043321	6042334	6042221	6042232	6041391	6041438	6040415	6040856	6039995	6040404	6040127	6039992	6039739	6039964	6039771	6038914	6038875	6038124	6038803	6038242	6038329	6038224	6037747	6037544	6037473	6037416	6036859	6037578	6036897	6036870	6037391	6037968	6037553	6037098	6037061	6036706	6037033	6035974	6036891	6036024	6036131	6035452	6035543	6035358	6034945	6035020	6034215	6035272	6033983	6034458	6033569	6034070	6033591	6033236	6033769	6033114	6033403	6032740	6034103	6033008	6034027	6033350	6033677	6033092	6033189	6033338	6032447	6033344	6032883	6032670	6032921	6032500	6032095	6032200
