IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
2778969,4821227,7653429,3606523,6085769,Rec
2756145,4764669,7475269,3555407,5950803,Rec
2742389,4737617,7475271,3537237,5931961,Rec
710435,1222731,1770695,915545,1462221,Rec
661213,1176673,1727717,878511,1419577,Rec
695549,1246383,1905889,922775,1537683,Rec
717917,1223591,1739403,916653,1440541,Rec
529741,933637,1309987,700713,1105923,Rec
599469,1058073,1490489,779437,1226927,Rec
871411,1586787,2605733,1165395,2041533,Rec
722273,1298261,2181889,985287,1732829,Rec
597585,1059865,1795675,809565,1445459,Rec
818497,1472645,2347899,1085293,1858687,Rec
802803,1454013,2321221,1068957,1837025,Rec
695803,1245553,2016615,914499,1598223,Rec
859291,1270391,1993439,1032229,1655977,Rec
718671,1337649,2147889,956461,1671853,Rec
707993,1278643,2048807,935919,1612445,Rec
848197,1274525,2003449,1000245,1594471,Rec
969079,1899663,3363037,1360885,2562695,Rec
855435,1676285,3081025,1220197,2341901,Rec
854071,1667387,2822241,1251891,2182527,Rec
812425,1474999,2701279,1100567,2066079,Rec
730599,1327143,2180615,977683,1758971,Rec
1216673,2035927,2975331,1536459,2425643,Rec
1284867,2154243,3202361,1628177,2606995,Rec
1661213,2767051,4349445,2064493,3421747,Rec
1244195,2063239,3286415,1539551,2592215,Rec
1498495,2531209,3901737,1910029,3131779,Rec
1067483,1776395,2829877,1288249,2173029,Rec
1858655,3207519,4892833,2399787,3938641,Rec
1939323,3333175,5068857,2493577,4078709,Rec
1848535,3185113,4855231,2384227,3910515,Rec
2108101,3634265,5644909,2717163,4510669,Rec
2108605,3639187,5651697,2721411,4516835,Rec
1826159,3008487,4714357,2267789,3881053,Rec
1318611,2166279,3131773,1644669,2574533,Rec
1451233,2384577,3464519,1811681,2832175,Rec
1031871,1762875,2633729,1324439,2137911,Rec
1106937,1849361,2789173,1399173,2252173,Rec
1274867,2165677,3327089,1641811,2692819,Rec
1054939,1739447,2740257,1279457,2137155,Rec
1921969,3345799,5095769,2503629,4128795,Rec
1942685,3410195,5229901,2536967,4198403,Rec
1550095,2733197,4487999,1958603,3365777,Rec
2108547,3752581,5884137,2777901,4691325,Rec
2000775,3573687,5554255,2642201,4442159,Rec
1966447,3454253,5401555,2539155,4280867,Rec
1359101,2267181,3389847,1716115,2750617,Rec
1311853,2185097,3201693,1657817,2619759,Rec
1350543,2327925,3501149,1731897,2819243,Rec
1286179,2075751,2978599,1593083,2457717,Rec
1455119,2301787,3395703,1778283,2770729,Rec
1674743,2746677,4295167,2099497,3439351,Rec
1462927,2373509,3816155,1899027,3131271,Rec
1521107,2494099,3847401,1899077,3082695,Rec
1351471,2199389,3429205,1690727,2761891,Rec
1493227,2472539,3932549,1880855,3118943,Rec
1389219,2217805,3544701,1774357,2966739,Rec
